Id,Name,Description,Longitude,Latitude,Status
86,MIDAS site at M1/3966A priority 1 on link 123013701; GPS Ref: 448119;338259; Northbound,M1/3966A,-1.285444652,52.93959494,Active
87,MIDAS site at M1/4017B priority 1 on link 123013901; GPS Ref: 450476;342713; Southbound,M1/4017B,-1.249685944,52.97941397,Active
88,MIDAS site at A14/2060J priority 1 on link 199136301; GPS Ref: 627790;237894; Eastbound,A14/2060J,1.316541424,51.99276231,Active
89,MIDAS site at M6/6772K priority 1 on link 110005302; GPS Ref: 374168;367304; Northbound,M6/6772K,-2.388171784,53.20219271,Inactive
90,MIDAS site at M4/3869B priority 1 on link 102019301; GPS Ref: 361726;183912; Eastbound,M4/3869B,-2.553416529,51.55278771,Active
91,MIDAS site at M40/8789A priority 1 on link 199011101; GPS Ref: 462610;204895; Northbound,M40/8789A,-1.094646532,51.73927749,Active
92,MIDAS site at M3/2161B priority 1 on link 103008401; GPS Ref: 443618;118920; Eastbound,M3/2161B,-1.380196655,50.9680462,Active
93,MIDAS site at A1M/9541A priority 1 on link 200013589; GPS Ref: 443428;435666; Northbound,A1M/9541A,-1.341892793,53.81548698,Active
94,MIDAS site at M25/4090K priority 1 on link 200109283; GPS Ref: 555661;171840; Clockwise,M25/4090K,0.23752931600000002,51.42419768,Active
95,MIDAS site at A1M/2228B priority 1 on link 199047701; GPS Ref: 515756;291813; Southbound,A1M/2228B,-0.29570961900000003,52.51194281,Active
96,MIDAS site at A1M/9379B priority 1 on link 200014145; GPS Ref: 448072;421977; Southbound,A1M/9379B,-1.273487789,53.69205344,Active
97,MIDAS site at M25/4358A priority 1 on link 199121802; GPS Ref: 540570;153968; Clockwise,M25/4358A,0.013572169,51.26753629,Active
98,MIDAS site at M4/3434A priority 1 on link 102004601; GPS Ref: 400706;182090; Westbound,M4/3434A,-1.9912070910000002,51.53771215,Active
99,MIDAS site at M1/2501A priority 1 on link 108023301; GPS Ref: 507983;219359; Northbound,M1/2501A,-0.433247673,51.86238266,Active
100,MIDAS site at M60/9462B priority 1 on link 115028601; GPS Ref: 392195;398032; Anti-clockwise,M60/9462B,-2.119070347,53.47896937,Active
101,MIDAS site at M5/8291A priority 1 on link 102020202; GPS Ref: 363164;185008; Southbound,M5/8291A,-2.5327920329999998,51.56273816,Active
102,MIDAS site at A1M/9897A priority 1 on link 118013501; GPS Ref: 438364;467838; Northbound,A1M/9897A,-1.4147695420000002,54.10501978,Active
103,MIDAS site at M5/7995A priority 1 on link 102015801; GPS Ref: 378947;209138; Southbound,M5/7995A,-2.306570178,51.78051169,Active
104,MIDAS site at M25/4087B priority 1 on link  200045584; GPS Ref: 555726;172144; Anti-clockwise,M25/4087B,0.23859701600000002,51.42691112,Active
105,MIDAS site at M42/6536B priority 1 on link 126109002; GPS Ref: 418884;293878; Southbound,M42/6536B,-1.722978686,52.54244932,Active
106,MIDAS site at M25/4919A priority 1 on link 200045691; GPS Ref: 503670;175350; Clockwise,M25/4919A,-0.508905037,51.46763354,Active
107,MIDAS site at M11/6349A priority 1 on link 200021668; GPS Ref: 549190;210481; Northbound,M11/6349A,0.160947832,51.77313019,Active
108,MIDAS site at M1/3554B priority 1 on link 107032501; GPS Ref: 454580;300924; Southbound,M1/3554B,-1.195521252,52.60338709,Inactive
109,MIDAS site at M2/8534A priority 1 on link 200009322; GPS Ref: 575407;161900; Eastbound,M2/8534A,0.516358406,51.3291445,Active
110,MIDAS site at M4/2188B priority 1 on link 125039801; GPS Ref: 513275;178026; Eastbound,M4/2188B,-0.36982664400000004,51.48984546,Active
111,MIDAS site at M1/3916A priority 5 on link 199017201; GPS Ref: 447273;333581; Northbound,M1/3916A,-1.298710114,52.89762102,Inactive
112,MIDAS site at M6/7200B priority 1 on link 117005501; GPS Ref: 354921;401886; Southbound,M6/7200B,-2.681233331,53.51172672,Active
113,MIDAS site at M4/3689A priority 1 on link 102004001; GPS Ref: 376295;178134; Westbound,M4/3689A,-2.342899783,51.50163856,Active
114,MIDAS site at M1/3844A priority 1 on link 107031401; GPS Ref: 447463;326776; Northbound,M1/3844A,-1.29687438,52.83643646,Inactive
115,MIDAS site at A1M/9513A priority 1 on link 120006301; GPS Ref: 428279;554033; Northbound,A1M/9513A,-1.5607861070000002,54.88026818,Active
116,MIDAS site at M25/5295J priority 1 on link 199001501; GPS Ref: 518829;203302; Clockwise,M25/5295J,-0.281309158,51.71587435,Active
117,MIDAS site at M4/2646A priority 1 on link 105004401; GPS Ref: 472772;168722; Westbound,M4/2646A,-0.9549851930000001,51.41285867,Inactive
